City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,abu samrah,35.3029,37.1841,53.56,72,1,22.3,SY,1678118804
336,payakumbuh,-0.2202,100.6308,70.84,94,100,1.34,ID,1678118804
337,bereda,43.2686,-7.5406,59.14,73,100,4.16,ES,1678118805
338,kununurra,-15.7667,128.7333,82.38,74,57,8.05,AU,1678118793
339,benemerito de las americas,16.5167,-90.6439,82.42,56,54,4.12,MX,1678118805
340,zyryanka,65.75,150.85,-29.99,99,72,3.51,RU,1678118806
341,bar harbor,44.3876,-68.2039,39.9,36,75,24.16,US,1678118806
342,saldanha,-33.0117,17.9442,66.74,73,68,25.97,ZA,1678118807
343,upington,-28.4478,21.2561,83.3,18,0,12.95,ZA,1678118807
344,buin,-33.7333,-70.75,87.12,31,0,8.34,CL,1678118513
345,joensuu,62.6012,29.7632,18.09,87,100,4.61,FI,1678118808
346,gushikawa,26.3544,127.8686,60.03,87,0,3.44,JP,1678118809
347,senanga,-16.1167,23.2667,81.72,56,83,4.38,ZM,1678118809
348,bukachacha,52.9833,116.9167,8.89,95,100,3.22,RU,1678118809
349,peruibe,-24.32,-46.9983,86.65,59,21,6.29,BR,1678118810
350,korla,41.7597,86.1469,49.21,39,51,4.9,CN,1678118810
351,pinega,64.7001,43.3936,0.43,100,99,3.02,RU,1678118811
352,beringovskiy,63.05,179.3167,-21.46,91,17,5.95,RU,1678118811
353,banff,51.1762,-115.5698,4.78,94,96,0.58,CA,1678118811
354,guangyuan,32.442,105.823,54.54,83,60,2.19,CN,1678118812
355,egvekinot,66.3167,-179.1667,-15.61,97,78,7.58,RU,1678118813
356,mende,44.6667,3.5,37.99,50,1,7.99,FR,1678118813
357,asau,46.4333,26.4,43.72,55,100,3.78,RO,1678118814
358,polovinnoye,54.7914,65.9864,20.89,89,7,14.23,RU,1678118815
359,zhigansk,66.7697,123.3711,-20.83,100,81,8.41,RU,1678118816
360,naze,28.3667,129.4833,55.45,58,0,5.66,JP,1678118816
361,lasa,46.6166,10.7002,44.37,79,91,1.1,IT,1678118817
362,gerede,40.8008,32.1969,28.47,93,57,2.86,TR,1678118817
363,bengkulu,-3.8004,102.2655,75.11,89,100,3.24,ID,1678118818
364,lorengau,-2.0226,147.2712,80.04,81,98,6.78,PG,1678118818
